팀명,경기장,관중수,경기날짜,1팀score,2팀score,결과,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
현대건설,수원체육관,0,2021-10-17,3,1,1,김주하,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,2,1,1,0,0.25,2.22,1,0,0,0.0,0.71,3,1,0,33.33,4.55,0,0,0,0,0,0.0,0.0,0,0,0,L,0.0,0
IBK기업은행,수원체육관,0,2021-10-17,3,1,0,라셈,16,51,14,7,5,27.45,38.64,34,10,5,2,29.41,42.5,2,1,0,0,50.0,33.33,0,0,0,0,0.0,0.0,15,3,2,3,20.0,100.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,11,1,2,0.25,14.86,8,7,1,0,1.75,10.0,3,1,0,0.25,2.22,0,0,0,0.0,0.0,13,1,4,6,0,0.25,26.0,0,0,7,R,0.35555555555555557,1
IBK기업은행,수원체육관,0,2021-10-17,3,1,0,김수지,9,16,7,0,2,43.75,12.12,3,0,0,1,0.0,3.75,0,0,0,0,0.0,0.0,7,3,0,1,42.86,77.78,0,0,0,0,0.0,0.0,6,4,0,0,66.67,85.71,0,0,0,0,0.0,0.0,20,1,1,0.25,27.03,2,1,1,0,0.25,2.5,4,1,0,0.25,2.96,0,0,0,0.0,0.0,11,1,4,5,0,0.25,22.0,0,0,3,C,0.2,1
IBK기업은행,수원체육관,0,2021-10-17,3,1,0,김주향,7,19,7,1,2,36.84,14.39,12,3,1,2,25.0,15.0,1,1,0,0,100.0,16.67,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,3,0,0,50.0,40.0,9,0,2,0.0,12.16,14,10,4,0,2.5,17.5,3,0,0,0.0,2.22,33,12,1,33.33,37.08,4,0,2,1,0,0.0,8.0,0,0,4,L,0.15555555555555556,1
IBK기업은행,수원체육관,0,2021-10-17,3,1,0,표승주,7,18,7,2,0,38.89,13.64,15,7,0,0,46.67,18.75,1,0,0,0,0.0,16.67,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,2,0,0.0,13.33,12,0,0,0.0,16.22,12,11,1,0,2.75,15.0,8,1,1,0.25,5.93,15,2,1,6.67,16.85,3,0,0,2,0,0.0,6.0,0,0,1,L,0.15555555555555556,1
IBK기업은행,수원체육관,0,2021-10-17,3,1,0,김희진,5,11,4,1,0,36.36,8.33,5,2,1,0,40.0,6.25,2,0,0,0,0.0,33.33,2,1,0,0,50.0,22.22,0,0,0,0,0.0,0.0,1,1,0,0,100.0,14.29,1,0,0,0,0.0,6.67,7,0,2,0.0,9.46,5,4,1,0,1.0,6.25,3,0,0,0.0,2.22,0,0,0,0.0,0.0,10,1,3,1,0,0.25,20.0,1,0,2,C,0.1111111111111111,1
IBK기업은행,수원체육관,0,2021-10-17,3,1,0,조송화,1,4,1,1,0,25.0,3.03,4,1,1,0,25.0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,0,1,0.0,8.11,13,11,2,0,2.75,16.25,72,23,0,5.75,53.33,0,0,0,0.0,0.0,4,0,1,1,0,0.0,8.0,2,0,1,S,0.022222222222222223,1
IBK기업은행,수원체육관,0,2021-10-17,3,1,0,신연경,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,19,14,5,0,3.5,23.75,8,3,0,0.75,5.93,23,14,3,47.83,25.84,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
IBK기업은행,수원체육관,0,2021-10-17,3,1,0,최수빈,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,0,0.0,1.35,1,1,0,0,0.33,1.25,0,0,0,0.0,0.0,3,0,0,0.0,3.37,0,0,0,0,0,0.0,0.0,0,0,0,L,0.0,0
페퍼저축은행,페퍼스타디움,633,2021-10-19,1,3,0,엘리자벳,22,55,20,3,5,36.36,39.86,38,13,1,4,34.21,42.7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,14,5,2,1,35.71,87.5,0,0,0,0,0.0,0.0,3,2,0,0,66.67,18.75,7,2,2,0.5,8.33,13,10,3,0,2.5,13.68,1,0,0,0.0,0.7,1,0,0,0.0,1.23,4,0,1,1,0,0.0,6.56,1,0,7,R,0.3793103448275862,1
